Word	value
unsourced	698
design	697
society	696
peter	692
become	691
court	691
museum	690
currently	690
special	690
various	687
material	684
given	683
southern	683
open	681
never	679
few	677
1982	677
release	676
cydebot	676
common	675
produced	674
election	674
deaths	672
township	671
production	670
k	670
according	669
bay	668
take	668
cities	668
using	667
polski	666
bluebot	663
associated	662
support	662
songs	662
province	661
control	661
1980	659
right	659
night	658
without	657
route	654
centre	654
social	654
roman	652
said	650
late	649
1983	646
green	646
network	646
1984	642
style	641
statements	641
once	640
wales	639
grand	639
good	638
run	637
smith	637
miles	636
1981	635
board	634
martin	633
though	629
space	629
x	628
period	627
valley	626
christian	626
dr	625
democratic	625
having	624
amendment	623
business	622
per	622
race	621
get	620
chris	619
ft	619
railway	618
founded	617
sports	616
scotland	616
program	615
español	614
1978	613
your	611
example	611
china	610
japan	608
days	607
tour	606
1979	605
fox	604
created	604
novel	602
professional	601
removed	601
square	600
characters	599
1976	597
light	596
mark	593
came	592
away	592
los	591
go	591
star	590
considered	590
popular	590
married	590
director	589
services	588
together	585
recorded	584
usa	584
40	583
russia	582
moved	582
stations	580
singles	579
institute	579
six	578
men	576
historic	576
received	574
1977	574
50	573
names	572
groups	571
ireland	570
women	569
father	569
português	567
reliable	567
how	566
citations	566
million	565
bill	564
case	564
others	561
average	560
project	557
usually	557
forces	556
queen	554
citation	554
succeeded	554
parliament	554
europe	554
blue	554
teams	553
et	553
1971	553
directly	551
eastern	551
middle	550
chief	549
data	549
edition	548
arts	548
went	548
originally	547
civil	546
lord	546
points	545
should	545
florida	544
chinese	543
fire	543
our	542
similar	541
tom	540
role	538
body	538
russian	537
brown	537
areas	537
important	536
towns	534
seen	534
capital	533
magazine	532
included	531
1975	531
term	531
result	529
rights	528
iii	528
biographical	525
illinois	524
mr	523
density	523
1st	522
hospital	521
personal	521
playing	521
adding	521
prince	520
internal	520
1972	519
joseph	519
culture	517
1974	515
catholic	514
big	514
federal	513
1970	512
must	511
independent	511
brazil	508
日本語	508
future	508
navy	507
needing	507
famous	506
sir	505
technology	504
studio	504
appeared	504
nfl	502
soviet	500
making	500
intended	500
actor	500
mountain	498
victoria	497
preceded	497
academy	497
places	497
started	497
label	496
sea	496
thijs	496
additional	495
edward	495
himself	495
indian	494
added	494
pp	494
comics	494
today	493
level	492
zealand	491
carolina	490
internet	488
ed	488
airport	487
bridge	487
pmid	486
1969	486
islands	485
database	484
louis	484
35	483
god	482
jones	482
theatre	481
mike	480
65	480
thus	478
real	477
notable	476
1968	474
fiction	473
senior	473
shows	473
challenged	472
hockey	472
le	472
spanish	471
taken	471
view	470
o	469
municipalities	469
genre	469
channel	466
wife	466
del	465
income	464
scientific	464
private	463
minister	462
gold	461
largest	461
ohio	461
leader	460
come	460
to:	460
chicago	460
size	459
1973	459
police	458
formed	458
2nd	458
seven	458
includes	458
bob	457
historical	457
killed	456
profile	456
status	456
musical	455
cmdrobot	455
conference	455
returned	453
gene	453
van	453
super	453
upon	453
marine	452
working	452
structure	452
key	451
32	450
coast	450
coach	450
person	450
politics	449
1964	447
goals	447
talk	447
italian	446
italy	445
statistics	445
continued	444
bbc	444
computer	444
natural	444
angeles	443
eventually	443
y	443
systems	443
primary	443
return	442
developed	442
virginia	441
1945	441
mary	441
1967	441
africa	440
action	438
44	438
34	437
zone	436
collection	436
wish	436
joined	436
1944	436
corps	436
michigan	435
review	435
captain	433
throughout	433
medal	433
features	433
johnson	433
yurikbot	433
uses	433
1962	433
duke	431
trust	430
1966	430
training	430
countries	429
despite	429
stadium	428
writer	428
organization	428
45	428
designed	427
nuclear	427
communities	426
mother	426
producer	426
jr	423
golden	423
el	423
worked	423
jack	422
journal	422
results	422
irish	421
liberal	420
municipality	419
studies	419
female	419
33	419
lee	418
accessed	417
36	417
african	417
elected	417
ship	416
addition	416
companies	415
opened	415
close	414
win	414
ground	414
alexander	413
metal	413
creek	412
staff	411
model	411
cd	410
process	410
far	408
spain	407
castle	407
latin	407
online	406
length	406
politician	405
heart	405
range	405
units	405
jersey	405
tony	404
daughter	403
construction	403
post	403
42	403
generally	402
1963	402
volume	402
reference	402
jewish	402
baseball	402
directed	402
38	401
villages	401
1953	400
русский	400
basketball	399
median	398
empire	398
active	398
guitar	397
russbot	397
46	397
itself	396
market	396
sometimes	396
religious	396
author	396
svenska	396
library	395
regional	395
scott	395
cover	395
scottish	394
classification	393
earth	393
chart	393
soon	393
campaign	393
pennsylvania	392
greek	392
boy	392
guide	391
1961	391
fact	391
1965	390
foreign	389
issue	389
running	388
cross	388
master	387
rich	387
1943	386
able	386
lower	385
base	385
stephen	385
too	385
saint	384
car	384
seasons	384
vocals	383
1956	383
stories	383
instead	383
men's	383
georgia	382
stage	382
1955	382
performed	382
event	382
less	382
brother	382
movement	381
front	380
report	380
seat	380
refer	380
across	379
1954	379
letter	379
wrote	378
find	378
arizona	377
management	377
detroit	376
energy	375
least	375
jim	375
security	375
3rd	374
native	374
bureau	373
mexico	373
forest	372
means	372
officer	371
source	371
dead	371
buildings	371
unit	370
steve	370
co	370
value	370
almost	370
administration	370
1960	369
reading	369
org	369
artists	369
dance	369
committee	369
sound	368
olympic	368
study	368
appearances	367
medical	367
complete	366
arms	366
transport	365
nature	365
operations	364
highway	363
beach	363
girls	363
festival	363
week	363
half	363
topics	362
money	361
performance	361
meet	361
past	361
hong	361
joe	360
theory	360
wall	358
woman	358
older	357
appearance	357
match	356
trade	356
behind	356
ever	356
train	356
subject	356
leading	355
1950	355
possible	355
d6	354
francisco	354
student	354
economic	354
ancient	353
fort	353
sold	353
paris	352
andrew	352
era	351
frank	351
mission	351
pacific	351
labour	351
literature	350
annual	350
above	350
traditional	349
mayor	349
junior	349
fourth	349
siebot	349
either	348
give	348
miss	348
friends	347
engineering	347
below	347
families	347
voice	347
governor	347
cite	346
nations	346
it's	346
competition	346
williams	346
blood	346
37	345
kong	345
word	345
britain	345
bowl	344
64	343
strong	343
di	343
industry	342
vol	342
1958	342
replaced	341
wood	341
ships	341
months	340
interest	340
cast	340
males	339
disease	339
web	339
60	339
entry	339
alumni	339
tower	339
1946	338
1948	338
rules	338
command	338
standard	338
ontario	337
test	337
followed	337
commission	337
quality	336
rather	336
39	336
issues	336
products	336
previous	336
arthur	335
engine	335
1952	334
am	334
parts	334
feature	334
females	333
singer	332
child	332
interview	332
listing	331
limited	331
iv	331
sent	330
category:	329
mass	329
attack	329
commander	329
temple	328
cluebot	328
columbia	328
put	328
oxford	328
regular	327
poland	327
runs	327
outside	327
boston	327
greater	327
register	326
iraq	326
missouri	326
albert	326
takes	326
might	325
zero	325
upper	325
sport	324
academic	324
memorial	324
ice	324
ben	324
background	323
low	323
beginning	323
tournament	323
contains	323
changed	322
need	322
princess	322
hills	322
victory	321
room	321
expanded	321
05	321
success	321
successful	321
going	321
pages	321
ten	320
needs	320
1947	320
winter	320
200	320
fictional	320
sam	320
writing	319
executive	319
property	319
better	319
scene	319
heavy	319
novels	319
04	319
reported	319
family:	319
israel	319
dark	318
unverifiable	318
magic	318
secretary	318
der	318
girl	317
1957	317
score	317
described	317
berlin	317
artist	316
feet	316
order:	316
higher	316
plot	316
writers	316
‪norsk	316
polish	316
‬	316
parties	315
always	315
manga	315
die	314
legal	314
1959	313
demographics	313
pop	313
maria	313
fall	312
software	312
41	311
whose	311
unknown	311
especially	311
cbs	310
start	310
doi:10	310
1949	310
tim	310
conservative	309
asian	309
bass	309
personnel	308
provide	308
gave	308
43	308
fight	308
hand	308
remained	307
hard	307
congress	307
dumzibot	307
asia	307
eight	307
appears	306
bc	306
debut	306
spring	305
communes	305
episodes	305
women's	305
provided	305
silver	304
caused	304
pictures	304
coordinates	304
campus	303
port	303
falls	303
03	303
500	303
1942	303
speed	303
kansas	303
1939	303
elevation	302
surface	302
51	302
candidate	302
da	302
jackson	301
plays	301
rugby	301
plant	301
allowed	301
know	301
policy	301
”	300
moon	300
races	300
2008-01-31	299
publication	299
degree	299
revolution	299
convention	299
01	298
tracks	298
origin	298
format	298
flabot	298
food	298
article:	298
symmetry	298
card	298
tree	298
description	298
organizations	298
broadcast	297
course	297
emperor	297
des	296
pass	296
map	296
santa	296
sweden	296
completed	296
saw	296
brought	296
suomi	295
appointed	295
stubshidden	295
net	295
02	295
prime	295
call	294
07	293
announced	293
wilson	292
turn	292
hit	292
ford	292
got	292
generation	292
religion	292
referred	291
complex	291
1951	291
finally	291
1940	291
sister	290
lincoln	290
06	290
recently	290
flight	289
counties	289
involved	289
winning	289
thought	289
move	289
dave	289
47	288
housing	288
makes	288
genus:	288
taylor	288
commercial	288
48	288
taking	288
55	288
von	288
alternative	288
physical	287
hot	287
anomebot2	287
windows	287
opening	287
philip	287
1941	286
alan	286
chronology	286
cultural	286
minor	285
relationship	285
bank	285
minutes	285
prior	284
say	284
protein	284
publications	284
households	284
awarded	284
netherlands	284
establishment	283
defeated	282
true	282
operating	282
territory	281
manager	281
peace	281
towards	281
indiana	281
representatives	281
racing	280
significant	280
stone	280
dutch	279
oregon	279
previously	279
approximately	279
daily	279
1938	279
08	278
classic	278
anderson	278
52	278
lines	278
programs	278
numerous	278
bishop	277
naval	277
90	277
relations	277
commons	277
justice	277
goal	277
don't	276
publishing	276
bad	276
operation	276
daniel	276
1936	276
highest	275
introduced	275
remains	275
professor	275
roger	275
dictionary	275
lives	275
orphaned	274
korean	274
4th	274
les	274
resources	274
elections	274
olympics	273
words	273
youth	273
storm	273
stars	273
80	272
summary	272
forms	272
via	272
box	272
featuring	272
entire	272
male	272
weight	272
inside	272
1990s	271
hits	271
numbers	271
cases	271
harry	271
types	271
signed	270
meaning	270
earlier	269
access	269
actors	269
discography	268
required	268
waacstats	268
simple	267
discovered	267
districts	267
none	267
retired	267
corporation	267
korea	267
philadelphia	267
cleanup	267
championships	266
care	266
honor	266
things	266
majority	266
sun	266
urban	265
children's	265
1937	265
editor	265
individual	265
deep	265
relating	264
acting	264
owned	264
op	264
simon	264
themselves	264
massachusetts	264
decided	264
linear	263
discovery	263
titles	263
+	263
greatest	263
reviews	263
whom	263
don	263
christmas	263
color	262
palace	262
problem	262
rivers	262
placed	262
lewis	262
bokmål	261
standards	261
loss	261
mainly	261
connecticut	261
already	260
attempt	260
ball	260
certain	260
look	260
doctor	260
nick	260
champions	260
stop	259
digital	259
1980s	258
longer	258
railroad	258
assembly	258
acts	258
image	258
earl	258
actually	257
ray	257
toronto	257
friend	257
activities	257
guy	257
sri	257
shown	257
enough	256
parish	255
49	255
practice	255
leaders	255
draft	254
closed	254
manchester	254
yet	254
lady	253
economy	253
secret	253
why	253
quebec	253
starring	252
multiple	252
中文	252
volapük	252
moore	252
particularly	251
holy	251
contemporary	251
stated	250
rose	250
vs	250
dvd	249
reached	249
selected	249
chapter	249
shot	249
variety	249
clubs	249
formerly	248
face	248
bus	248
95	248
particular	247
alex	247
caries	247
powers	247
infantry	247
20th	247
function	247
gun	247
pope	246
whole	246
branch	246
missing	246
goes	246
claimed	246
jerry	246
hold	246
soccer	246
conservation	246
metropolitan	246
specific	245
becomes	245
wars	245
want	245
ian	244
cause	244
classes	244
financial	244
domain	244
principal	244
rest	244
fighting	244
projects	243
miller	243
travel	243
clear	243
jets	243
authority	243
nbc	243
anthony	243
ran	243
piano	242
increased	242
andy	242
wide	242
listed	242
mostly	242
classical	242
effect	241
1920	241
residents	241
direct	241
davis	241
iron	240
vehicles	240
kingdom:	240
portuguese	240
poor	240
adam	239
done	239
separate	239
critical	239
introduction	239
problems	239
cell	239
antonio	238
rail	238
70	238
plan	238
garden	238
romania	238
pittsburgh	238
rjwilmsi	238
noted	237
medicine	237
francis	237
industrial	237
flag	237
1933	237
gary	237
dc	237
steel	237
attended	237
response	236
1917	236
charge	236
hours	236
springs	236
electric	236
claims	236
1935	236
farmbrough	235
brian	235
squadron	235
champion	235
kevin	235
count	235
learning	235
double	234
1932	234
something	234
hotel	234
gallery	234
crime	234
lawrence	233
matches	233
elementary	233
abc	233
recording	233
cannot	233
sunday	233
1924	233
1930	232
letters	232
facilities	232
jews	232
egypt	232
republican	232
expansion	232
57	232
boys	232
1960s	232
machine	232
walter	232
rate	231
comedy	231
class:	231
switzerland	231
yellow	231
educational	231
1970s	231
analysis	231
54	231
senate	231
elizabeth	231
eric	231
	230
actress	230
note	230
fc	230
douglas	230
kings	230
provides	230
bible	230
finished	230
brothers	229
ipv6	229
damage	229
votes	229
guard	229
combat	229
58	228
freedom	228
00	228
alone	228
hosted	228
architecture	228
appear	227
met	227
let	227
nearly	227
fame	227
says	227
becoming	227
husband	227
larger	227
montreal	227
serving	227
75	226
jean	226
secondary	226
09	226
nine	226
levels	226
iowa	225
53	225
flying	225
cricket	225
object	225
idea	225
entertainment	225
fantasy	225
turned	225
keep	224
environmental	224
marriage	224
officers	224
rule	224
decision	224
household	224
winners	224
evil	224
newspaper	223
morning	223
weapons	223
theme	223
jesus	223
leave	223
commonly	223
denmark	223
drive	223
merged	223
effects	222
sydney	222
samples	222
rank	222
believe	222
kg	222
cambridge	222
html	222
wins	222
wing	222
lived	222
ended	222
concert	222
mount	222
plants	221
initially	221
signal	221
supreme	221
evidence	221
heritage	221
mile	221
influence	221
method	220
louisiana	220
canton	220
tropical	220
therefore	220
contract	219
border	219
wind	219
characteristics	219
parents	219
address	219
delta	219
believed	219
mm	219
cut	219
regiment	218
minnesota	218
programming	218
1934	218
create	217
likely	217
forced	217
q	217
clay	217
gerard	217
elements	217
host	216
enemy	216
winner	216
eye	216
atlantic	216
1931	216
passed	216
concept	216
ep	216
troops	215
ability	215
96	215
global	215
probably	214
can't	214
bell	214
houses	214
starting	214
basic	214
98	213
crystal	213
camp	213
jason	213
comes	213
treatment	213
churches	213
etc	213
defense	212
owner	212
motor	212
revealed	212
domestic	211
5%	211
assistant	211
56	211
jazz	211
bibliography	211
arab	211
wild	210
applications	210
jan	210
dream	210
chairman	210
commune	210
nation	209
tax	209
overall	209
initial	209
price	209
indonesia	209
allen	209
except	209
howard	209
activity	209
worldwide	209
99	209
patrick	209
drug	209
universe	209
protection	208
musicians	208
jimmy	208
grant	208
ministry	208
judge	208
geographical	208
1925	208
samuel	207
planning	207
mountains	207
picture	207
farm	207
individuals	207
en	207
reporter	207
responsible	206
safety	206
dan	206
primarily	206
direction	206
regions	206
plans	206
threatened	206
faculty	205
1927	205
victor	205
austria	205
administrative	205
comic	205
matter	205
creation	205
19th	205
peak	204
91	204
dragon	204
premier	204
subsequently	204
consists	204
experience	204
colorado	203
marvel	203
thunder	203
bar	203
poetry	203
bronze	203
mississippi	203
matthew	203
vi	203
orthodox	203
destroyed	203
alien	202
month	202
spent	202
height	202
socorro	202
battalion	202
stock	202
weeks	202
brazilian	202
increase	202
gives	202
arena	202
norway	202
59	202
translated	201
widely	201
fellow	201
agency	201
bush	201
welsh	201
portugal	201
heat	201
1928	201
birds	201
z	201
told	200
concern	200
canal	200
require	200
priest	200
amount	200
squad	200
vice	199
dallas	199
footballers	199
workers	199
powerful	199
someone	199
oil	199
lies	199
people's	199
jeff	199
imageremovalbot	199
fm	198
headquarters	198
produce	198
knowledge	198
studied	198
platform	198
split	198
nothing	198
93	198
mind	198
murder	198
dog	198
paper	198
extended	197
deal	197
eubot	197
sex	197
examples	197
jonathan	197
97	197
entered	197
dental	197
argentina	197
josé	197
remaining	197
legislative	196
managed	196
miami	196
equipment	196
moving	196
88	196
largely	196
quarter	196
distance	196
crew	196
scored	195
1922	195
coming	195
nazi	195
product	195
also:	195
alliance	194
objects	194
literary	194
76	194
transportation	194
versions	194
planet	194
fish	193
laws	193
simply	193
constructed	193
pdf	193
latter	193
allow	193
figure	193
beat	193
broadcasting	193
opera	193
sciences	193
table	192
parks	192
golf	192
founder	192
mix	192
london:	192
meeting	192
serve	192
offered	192
leaving	192
sleep	192
sites	192
drama	191
electronic	191
sign	191
greece	191
raised	191
highly	191
christ	191
rome	190
hurricane	190
escape	190
wanted	190
diego	190
publisher	190
memory	190
1-0	190
alabama	189
athletic	189
max	189
7%	189
nearby	189
postal	189
ny	189
contain	188
divisions	188
prize	188
sons	188
prominent	188
66	187
5th	187
fleet	187
defeat	187
asked	187
wrestling	187
swedish	187
esperanto	187
floor	187
agent	187
exchange	187
1900	186
challenge	186
maryland	186
impact	186
evolution	186
begins	186
62	186
authorities	186
supported	186
prison	186
bobby	186
74	186
unique	186
philippines	186
engineer	185
94	185
situation	185
figures	185
spread	185
fred	185
fans	185
kind	185
ryan	184
bruce	184
1929	184
colonies	184
austin	184
municipal	184
63	184
represented	184
reports	184
avenue	184
remain	184
spirit	184
lb	184
franklin	183
theater	183
1926	183
combined	183
traffic	183
progressive	183
formation	183
elvis	183
uncle	183
drums	183
operated	183
92	183
gas	183
basis	183
editing	183
adult	183
failed	183
català	182
growth	182
beyond	182
thing	182
charlie	182
utah	182
1919	182
transfer	182
aged	181
72	181
6th	181
disc	181
saints	181
immediately	181
soldiers	181
juan	181
hour	181
macon	181
ukraine	181
giving	181
1915	180
quickly	180
technical	180
rural	180
renamed	180
ad	180
kelly	180
pilot	180
são	179
ring	179
gardens	179
soul	179
launched	179
crown	179
keith	179
marshall	179
environment	179
id	179
cook	179
85	178
0%	178
divided	178
nebraska	178
4%	178
animals	178
smaller	178
helped	178
philosophy	178
normal	178
constitution	178
karl	178
mobile	178
sky	178
borough	178
fifth	178
scoring	177
61	177
covered	177
liverpool	177
desert	177
affairs	177
3%	177
hungary	177
scheme	177
forward	177
ocean	177
400	177
serves	177
attention	177
wings	177
guns	177
du	177
cornelius	177
read	177
coaches	177
heights	177
typically	176
offers	176
czech	176
citizens	176
distribution	176
dedicated	176
bryan	176
tennis	176
vehicle	176
1911	176
mrs	176
rise	176
break	176
correct	176
68	176
structures	176
sense	176
1912	176
1914	175
adams	175
frequently	175
tradition	175
mentioned	175
alaska	175
allows	175
whether	175
reach	175
roads	175
intelligence	175
communist	175
organized	175
carlos	175
kill	174
cincinnati	174
values	174
lieutenant	174
audio	174
mixed	174
iucn	174
fan	174
driver	174
1923	174
leaves	174
northwest	173
advanced	173
aviation	173
really	173
core	173
eyes	173
cold	173
iraqi	173
block	173
hope	173
build	173
78	173
română	172
independence	172
matt	172
corner	172
mall	172
labor	172
facility	172
1913	172
reason	172
calendar	172
baltimore	172
orphanbot	172
cost	172
melbourne	172
yorkshire	172
mystery	171
johann	171
bands	171
ltd	171
mean	171
situated	171
seems	171
pro	171
1921	170
solo	170
species:	170
happy	170
77	170
gordon	170
las	170
gate	170
choice	170
mf	170
movies	170
necessary	170
teaching	169
billy	169
athletics	169
versus	169
edge	169
approach	169
orange	169
billboard	169
motion	168
leadership	168
ken	168
73	168
animal	168
tells	168
ca	168
teacher	168
2:	168
cape	168
carl	168
harris	168
incident	168
kentucky	168
planned	167
cable	167
glass	167
83	167
horse	167
performing	167
larry	167
positions	167
spectre	167
79	167
captured	167
job	167
67	167
shortly	166
imperial	166
continues	166
airlines	166
danish	166
mathematics	166
trains	166
disney	166
alfred	166
methods	166
models	166
sexual	166
presented	166
69	166
8%	166
institutions	166
legend	165
birmingham	165
arrived	165
conflict	165
orchestra	165
mexican	165
300	165
persons	165
routes	165
technique	165
opposition	165
criminal	165
baby	165
blofeld	164
phylum:	164
reserve	164
1910	164
lakes	164
horror	164
ross	164
graham	164
develop	163
guest	163
fighter	163
conditions	163
richmond	163
rio	163
belgium	163
1916	163
question	163
robinson	163
84	163
cathedral	163
focus	163
brief	163
1908	163
continue	163
brand	162
account	162
phase	162
saying	162
index	162
occupation	162
communications	162
agreement	162
prix	162
retirement	162
glasgow	162
bt	162
poet	162
phil	162
giant	162
oral	161
hardy	161
česky	161
crisis	161
1%	161
matthews	161
clown	161
89	161
bearcat	161
prefecture	161
risk	161
rangers	161
allowing	161
representative	161
nelson	161
pete	161
touchdown	161
origins	161
getting	161
adopted	161
dynasty	160
attempts	160
hamilton	160
1904	160
1918	160
dick	160
drew	160
bodies	160
category	160
entirely	159
northeast	159
pearle	159
presence	159
hands	159
sales	159
survey	159
presidential	159
visit	159
oldest	159
pirates	159
cleveland	159
lane	159
downtown	158
colleges	158
identity	158
animalia	158
defined	158
seats	158
df	158
wayne	158
reasons	158
anime	158
kim	158
wisconsin	158
1950s	158
magyar	158
81	158
humans	158
bach	158
warfare	157
painter	157
shopping	157
microsoft	157
binomial	157
potential	157
alleborgobot	157
claim	157
ways	157
ann	157
transferred	157
join	157
providing	156
journalist	156
townships	156
images	156
fine	156
translation	156
71	156
mouth	156
wolf	156
gaius	156
magazines	156
sean	156
roy	156
acres	156
pool	156
1905	156
finance	156
quite	156
fields	156
atlanta	156
streets	156
frequency	155
compilation	155
applied	155
maximum	155
showing	155
democrat	155
danny	155
vision	155
provincial	155
unlike	155
naruto	155
bear	155
starts	155
coat	155
nova	155
hunter	155
visiting	155
tennessee	155
genus	154
store	154
norwegian	154
87	154
hollywood	154
attacks	154
critics	154
officially	154
stand	154
perhaps	154
satellite	153
colony	153
archive	153
surrounding	153
i'm	153
6%	153
ends	153
ghost	153
fair	153
suggested	153
participated	153
purpose	153
socialist	153
vietnam	152
piece	152
vote	152
issued	152
completely	152
holland	152
wikipedia's	152
think	152
cat	152
proposed	151
shadow	151
campbell	151
ivan	151
christopher	151
soundtrack	151
saiyan	151
criticism	151
invasion	151
tales	151
americans	151
frederick	151
carried	151
pay	151
sequence	151
cancer	151
1875	151
york:	151
poems	151
grove	150
82	150
productions	150
composer	150
musician	150
clock	150
graduated	150
finds	150
cars	150
voabot	150
os	150
evening	150
inhabitants	150
display	150
%	150
symbol	150
grade	150
clark	150
share	150
bird	150
calgary	150
tried	149
losing	149
ward	149
kept	149
boat	149
600	149
monster	149
grew	149
advance	149
1:	149
lot	149
notability	148
ron	148
application	148
soldier	148
firm	148
composed	148
snow	148
infobox	148
tooth	148
killing	148
strength	148
2%	148
